transcription_factor	target	Weight
MYC	ARF6	1
MYC	ARL3	1
MYC	CBLN1	1
MYC	CBLN2	1
MYC	FLT3	1
MYC	INSM1	1
MYC	MICAL2	1
MYC	NKX2-2	1
MYC	NOTUM	1
MYC	SLC12A5	1
MYC	TMEM59L	1
NKX2-2	ALDH1A1	1
NKX2-2	WNT3	1
NR2F2	C10orf90	1
NR2F2	C1QL3	1
NR2F2	CFB	1
NR2F2	ESRRG	1
NR2F2	FGD4	1
NR2F2	GAB2	1
PKNOX2	ACACB	1
PKNOX2	ACSL6	1
PKNOX2	ACVRL1	1
PKNOX2	ALDH6A1	1
PKNOX2	ANKDD1A	1
PKNOX2	ART3	1
PKNOX2	BACE1	1
PKNOX2	BEGAIN	1
PKNOX2	DLG2	1
PKNOX2	GABRA2	1
PKNOX2	HAMP	1
PKNOX2	HECW1	1
PKNOX2	NKX2-2	1
PKNOX2	PDE1A	1
PKNOX2	PDE4B	1
PKNOX2	SLC15A2	1
PKNOX2	SPINT2	1
POU3F2	ALDH1A1	1
POU3F2	AQP9	1
POU3F2	ATP10B	1
POU3F2	BAG3	1
POU3F2	BBX	1
POU3F2	BLNK	1
POU3F2	BTG1	1
POU3F2	CACNB4	1
POU3F2	CD37	1
POU3F2	CERKL	1
POU3F2	CTDSP2	1
POU3F2	DCN	1
POU3F2	DLG2	1
POU3F2	ESRRG	1
POU3F2	GAP43	1
POU3F2	GATM	1
POU3F2	GPR85	1
POU3F2	KCTD4	1
POU3F2	LPHN2	1
POU3F2	LPL	1
POU3F2	MARCKS	1
POU3F2	NEUROD1	1
POU3F2	PDE4B	1
POU3F2	SLITRK1	1
POU3F2	TRAF3IP2	1
POU3F2	USP54	1
SIX4	SLITRK1	1
USF1	ATP6V0B	1
USF1	ATP6V1A	1
USF1	ATP6V1H	1
USF1	BNIP3L	1
USF1	C19orf25	1
USF1	C6orf211	1
USF1	CPEB1	1
USF1	H1F0	1
USF1	NEUROD1	1
USF1	RABEP1	1
USF1	SLC31A2	1
XBP1	AHI1	1
XBP1	ARID5B	1
XBP1	BTG1	1
XBP1	C1orf74	1
XBP1	C9orf156	1
XBP1	CDADC1	1
XBP1	CDK5RAP2	1
XBP1	DHX36	1
XBP1	GABARAPL1	1
XBP1	GRIA3	1
XBP1	HECA	1
XBP1	MOAP1	1
XBP1	PEX11G	1
XBP1	SCG2	1
XBP1	TMEM59L	1
ZIC3	ARL5B	1
ZIC3	BEGAIN	1
ZIC3	CACNA1G	1
ZIC3	CERCAM	1
ZIC3	EIF4E3	1
ZIC3	GIT1	1
ZIC3	GPR85	1
ZIC3	IGFBPL1	1
ZIC3	LHFPL2	1
ZIC3	NKX2-2	1
ZIC3	NNAT	1
ZIC3	PPARGC1B	1
ZIC3	SIX4	1
ZIC3	SLC12A5	1
ZIC3	TJAP1	1
ZIC3	TSC22D3	1
ZIC3	ZNF521	1
